TRATAMENTOS,R…PLICAS,TEMPERATURA įC,Y1,Y2,Y3
CO,2,25,"0,404","0,482","0,399"
CO,4,25,"0,395","0,378","0,367"
CO,6,32,"0,306","0,283","0,343"
CO,14,32,"0,364","0,396","0,354"
CO,19,25,"0,298","0,271","0,292"
CO,21,32,"0,244","0,319","0,237"
CO,25,25,"0,281","0,255","0,287"
CO,30,32,"0,229","0,323","0,199"
CO,31,32,"0,291","0,304","0,366"
CO,35,25,"0,353","0,330","0,381"
C1,7,25,"0,493","0,595","0,532"
C1,8,32,"0,258","0,182","0,298"
C1,10,25,"0,396","0,345","0,408"
C1,12,32,"0,314","0,386","0,248"
C1,17,25,"0,299","0,233","0,286"
C1,22,25,"0,258","0,317","0,286"
C1,26,32,"0,198","0,228","0,148"
C1,27,32,"0,215","0,200","0,255"
C1,38,25,"0,207","0,190","0,208"
C1,39,32,"0,217","0,247","0,222"
C2,3,32,"0,284","0,146","0,208"
C2,5,25,"0,445","0,564","0,543"
C2,9,32,"0,278","0,147","0,237"
C2,11,25,"0,451","0,439","0,457"
C2,13,32,"0,285","0,280","0,255"
C2,16,25,"0,359","0,378","0,397"
C2,23,25,"0,376","0,365","0,312"
C2,33,25,"0,282","0,383","0,307"
C2,34,32,"0,229","0,264","0,246"
C2,36,32,"0,361","0,327","0,328"
C3,1,32,"0,274","0,376","0,293"
C3,15,25,"0,560","0,555","0,603"
C3,18,25,"0,459","0,491","0,505"
C3,20,25,"0,592","0,535","0,598"
C3,24,32,"0,421","0,360","0,382"
C3,28,32,"0,278","0,318","0,412"
C3,29,32,"0,380","0,394","0,367"
C3,32,32,"0,315","0,333","0,379"
C3,37,25,"0,361","0,482","0,562"
C3,40,25,"0,582","0,611","0,604"
